,,details,details,
50, TRUE," ""check""",," ""2015-09-17 00:28:57 UTC"""
51, FALSE," ""stack overflow"""," ""tubes"""," ""2015-09-17 01:31:51 UTC"""
52, TRUE," ""ok""",," ""2015-09-17 02:33:47 UTC"""
53, TRUE," ""ok""",," ""2015-09-17 03:32:17 UTC"""
54, TRUE," ""all good""",," ""2015-09-17 04:35:01 UTC"""
55, TRUE," ""check""",," ""2015-09-17 05:37:19 UTC"""
56, TRUE," ""ok""",," ""2015-09-17 06:35:20 UTC"""
57, TRUE," ""check""",," ""2015-09-17 07:36:10 UTC"""
58, TRUE," ""ok""",," ""2015-09-17 08:34:29 UTC"""
59, TRUE," ""check""",," ""2015-09-17 09:34:02 UTC"""
60, TRUE," ""ok""",," ""2015-09-17 10:33:19 UTC"""
61, TRUE," ""ok""",," ""2015-09-17 11:34:41 UTC"""
62, TRUE," ""ok""",," ""2015-09-17 12:33:41 UTC"""
63, FALSE," ""segmentation fault"""," ""waste"""," ""2015-09-17 13:33:43 UTC"""
64, TRUE," ""check""",," ""2015-09-17 14:35:19 UTC"""
65, FALSE," ""human error"""," ""waste"""," ""2015-09-17 15:34:22 UTC"""
66, TRUE," ""ok""",," ""2015-09-17 16:34:35 UTC"""
67, TRUE," ""ok""",," ""2015-09-17 17:35:00 UTC"""
68, TRUE," ""all good""",," ""2015-09-17 18:35:20 UTC"""
69, TRUE," ""ok""",," ""2015-09-17 19:34:08 UTC"""
70, TRUE," ""all good""",," ""2015-09-17 20:33:43 UTC"""
71, TRUE," ""check""",," ""2015-09-17 21:32:27 UTC"""
72, TRUE," ""check""",," ""2015-09-17 22:32:34 UTC"""
73, TRUE," ""ok""",," ""2015-09-17 23:34:26 UTC"""
74, TRUE," ""check""",," ""2015-09-18 00:34:56 UTC"""
75, TRUE," ""all good""",," ""2015-09-18 01:37:54 UTC"""
76, TRUE," ""ok""",," ""2015-09-18 02:36:15 UTC"""
77, FALSE," ""human error"""," ""waste"""," ""2015-09-18 03:37:18 UTC"""
78, TRUE," ""ok""",," ""2015-09-18 04:34:42 UTC"""
79, TRUE," ""check""",," ""2015-09-18 05:34:40 UTC"""
80, TRUE," ""all good""",," ""2015-09-18 06:35:30 UTC"""
81, TRUE," ""check""",," ""2015-09-18 07:35:34 UTC"""
82, TRUE," ""check""",," ""2015-09-18 08:38:13 UTC"""
83, TRUE," ""check""",," ""2015-09-18 09:39:01 UTC"""
84, TRUE," ""check""",," ""2015-09-18 10:39:36 UTC"""
85, TRUE," ""check""",," ""2015-09-18 11:39:57 UTC"""
86, TRUE," ""ok""",," ""2015-09-18 12:41:17 UTC"""
87, TRUE," ""ok""",," ""2015-09-18 13:41:12 UTC"""
88, TRUE," ""all good""",," ""2015-09-18 14:42:09 UTC"""
89, TRUE," ""ok""",," ""2015-09-18 15:43:31 UTC"""
90, TRUE," ""all good""",," ""2015-09-18 16:44:50 UTC"""
91, TRUE," ""all good""",," ""2015-09-18 17:45:27 UTC"""
92, TRUE," ""all good""",," ""2015-09-18 18:48:43 UTC"""
93, TRUE," ""all good""",," ""2015-09-18 19:49:38 UTC"""
94, TRUE," ""ok""",," ""2015-09-18 20:50:24 UTC"""
95, TRUE," ""check""",," ""2015-09-18 21:50:54 UTC"""
96, TRUE," ""check""",," ""2015-09-18 22:47:49 UTC"""

